 32G	release-proof
1.1G	cute-dvictester
1.1G	compass-dlr
1.1G	commerce-ops-gcp-wg
1.1G	berg-events-announcements
1.0G	live-stream-request
1.0G	lego-fans
1.0G	interns_general
1.0G	inc24821762
1.0G	inc24504929
1.0G	famasia-florida
1.0G	espn_arise
1.0G	dx-studio-control
1.0G	dvic-team-internal
1.0G	ask-boom
1.0G	app-revamp-my-center-archived
1.0G	820flower
997M	o1-apse-ods-work-group
991M	nyc-programmatic-am-team
990M	ds-oaken-qa-team
987M	nomadic-disney
977M	dlr-online-modifications-tech
969M	dlp-data-office
965M	gitlab
957M	hyperion
952M	disney-elastic
951M	dxtd-studio-nebula
951M	dbt-audience-team
943M	globalscape-filemover-stage
942M	disney-general
937M	maestro-support
932M	dx-studio-expedition
927M	pluto-metrics-monitoring-alerts
926M	accessibilibuddies
925M	p2f-social
920M	narwhal-esko-coordination
919M	dlr-ibc-migration-tech-archived
919M	ads-asset-management-working-group
918M	sample-based-reconstruction-archived
918M	moviesandnothingmore
918M	dxtd-content-help
911M	fnb_glob_automation
907M	kelowna-and-gx_community
905M	icehockey
905M	fast-channels
903M	dx-studio-terror-public
900M	dx-studio-rex
892M	apple
890M	lexicon_svc_prod_deploy
884M	nst_alpha_testers-archived
884M	ask-gam-core
879M	fnb_functionality-related-queries
871M	pm-test-chan
865M	nomadic-natgeo
864M	oneid-pipeline-notify
861M	dssrevreporting
860M	animal-crossing-new-horizons
856M	dmed-fx_support
855M	espn-multicultural-womens-network
845M	environmentsupport
841M	matterhorn-intl-jp
826M	sample-sale
822M	astronomy-and-astrophotography
820M	commerce-ticketing-l1-support
814M	hypercare-ads-tiering-and-opt-in
799M	dss-providers
797M	dx_myppm
794M	grilling_with_dpep
792M	dcl-server-team
787M	lenny-tnrteam
785M	photopass-internal-qa
783M	dee-crush-support
780M	secondassistant
779M	exp-scheduled-deployments
778M	ipm-qa
778M	capgemini
768M	photography
759M	dlr-lodging-pre-arrival-engineering-dev
758M	jira
751M	cable_ent
737M	availability_service_prod_deploy
733M	dx-dvcops
727M	reservation-service-prod-deploy
727M	rcg_dvc_project_diamond
723M	ng-immersives
723M	advisor-environments
722M	identity-management
717M	graphics-general
717M	disneypride-la
716M	offer-mgmt-support
716M	lodging-ui-releases
715M	expdev_xbms_vmxx_alerts
714M	3d-artists
712M	gam-scheduled-release
712M	ad-platform
709M	inventory_batch
704M	dxtd_glendale
703M	noir-dc_communityoutreach_subcommittee
703M	mu-editorial-content
701M	gcx-help-zinger
701M	ask-magicaccess
698M	2024-rebrand-disneyplus
695M	ariel-ad-apps-asset-management-workinggroup
694M	israel-testing-lifecycle
693M	dxtd-studio-gamora
689M	andy-test
682M	painmedicine
676M	dpep_monitoring
668M	berg-leadership
667M	apa-attractions
662M	ds-chit-chat
656M	dxtd_anaheim
654M	etp-performance
654M	dx_agiletools
653M	dlp_pkg_nsd_qa_drop
652M	kpop-and-kdramas
652M	help-iam
648M	proj-giftcard-ph2
648M	latam-disneyplus-starplus-issues-report
641M	proj-rewards-ph
640M	ptr-office
639M	media_services_wdt
634M	disneyplus-customersupport
626M	capps-dev-crew
625M	dtoc-vtc-intermittent-investigation
623M	japan-travel-culture
622M	nielsen_analytics
622M	imagine
619M	please-share-output-for-this-query_travelbox
619M	int_projectatlas_electricsquare
617M	oneid_bst_support
616M	nova-offshore-dev
615M	espnequal
613M	dx-dvic-production-defects
609M	datacom_wifi_support
605M	mocean-onyx-queenie
605M	maximo-db-check
605M	dvctech_advtravelrepl
605M	disneyfiberartists
605M	capps-d23
602M	independent-help-center
602M	dlp-rocky-tridion
602M	cm_team
601M	privacy-compliance-sell-share-targetted-ads
600M	paap-gateway-retirement
600M	hypercare-starplus-on-disneyplus
600M	dx-studio-kaos
598M	core-api-sustainment
597M	dcl-magicbandplus-ios-team
597M	blackbird-data
596M	dlp-pkg-testeurs
589M	freeform-forecast-qa
589M	dcincidentreporting
589M	cpgp_wallet_merge_project_launch
589M	cicd-ios-profile
588M	disney-sites
587M	ngdisneyplusbundle
585M	dx-ask-dine
585M	dpep-inspiretwdc-font-mobile-app
585M	dcl-healthcheck-sales
580M	proj-star-deprecation
580M	helios
579M	dawn-of-x
577M	amazon
574M	hotstarx-tech
573M	payments-uc
570M	build-a-band-support
563M	di-notif-load
562M	hulu-santa-monica-office
559M	eec-prod-deploy
557M	espn-emerging-leaders
554M	mobile_scriptlets_prod_deploy
553M	dlpaap-ticket_yield
552M	oem-pipeline
552M	ecomm_checkout_disneyplus-quarterly-banner-updates
551M	aulani20_devs
550M	natgeopride
545M	search-support
544M	dee-technology-town-square
542M	harps_support
541M	se-cd-eng-support
541M	natgeo-app-help
539M	dmed-hapi
539M	dlp_ui_run
538M	infosec-disney
536M	dplus-collections
536M	dcl_workflow_qe
535M	enabled-dc
535M	cs-partners-disneyplus
530M	oneid_web_release
527M	dprd-dcl-env-lt1
521M	cima-dtoa-ds-process-notifications
520M	memories-of-ford
516M	pop_striketeam
516M	int_americandad_reliance
513M	prod-mdx-pep-ui-decomm
513M	pend-order-svc-prod-deploy
513M	bimsupportca
512M	dlp-dgefood-woodys-public
511M	digital-editorial-team
505M	merkle_disney_team
504M	digitalsignage
502M	media-teamdevin-teamerik
502M	ext_fortnite_epic
502M	et-kirkmanpoint1
501M	sdcop
501M	running-club
501M	das-programmatic
500M	let_digital_daily_connectivity
497M	maestro-reports
497M	danielle-dsp
495M	capps-content-mgmt
494M	content-ops-pets
493M	arbusta-starplus-disneyplus-support
488M	savas_prod_deploy
488M	dlp-deploy
487M	car-chase-armchair-enthusiasts
486M	pe_mslt
486M	natgeomaps-socialmedia-ideas
486M	forecast_analysts
485M	dine-sustainment-module-qa
481M	edhwm_dev_alerts
480M	dss-dcp
478M	salute-fl
475M	sales-enablement-mdm
471M	community-zoom
468M	etech-hc-wdw-guest-wireless-updates
468M	digital_dine_res_mods_cancel_deploy
467M	hypercare-promos-tiering-pricing
467M	dee2supportcenter
466M	lsp-support
466M	feed-tech-news
465M	gam-pe-disc
463M	oneid_bst_api_release
463M	newrelic-foxsre
463M	music
462M	mediatorx-engineering
462M	aws-deepracer
461M	enabled-la
460M	dlr-uad-ux
459M	confluence
458M	dlr-tixsales-spa-prod-release
457M	platform-resiliency-eng
457M	disneyep-fl
456M	dmed-diversity-collective
455M	percy-tripleplay
454M	plants
452M	load_test_in_a_box
452M	dlpaap-run_offshore_inshore
451M	dmed-pride
450M	lorcana
